Internal ID Variant (Do Not Edit),Category,SKU,Items Name (Do Not Edit),ecommerce item? (Yes/No),Pre-order ? (Yes/No),Processing days,Weight (gm),Length (cm),Width (cm),Height (cm),Condition,Brand Name,Variant name,Basic - Price,Image 1 (for Online Store),Image 2 (for Online Store),Image 3 (for Online Store),Image 4 (for Online Store),Image 5 (for Online Store),Image 6 (for Online Store),Image 7 (for Online Store),Image 8 (for Online Store),Image 9 (for Online Store),Image 10 (for Online Store),Image 11 (for Online Store),Image 12 (for Online Store),Coffeeshop - Price,Barbershop - Price,In Stock,Track Stock,Track Alert,Stock Alert,Track Cost,Cost Amount,Modifier Set - Cashier - 384185
204187183,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Gentleman Grooming+,120000,,,,,,,,,,,,,,,-21,Yes,No,0,Yes,31500,No
44083420,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Gentleman Grooming,110000,,,,,,,,,,,,,,,-8660,Yes,No,0,Yes,28500,No
44131776,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Long Trim Grooming,120000,,,,,,,,,,,,,,,-1027,Yes,No,0,Yes,31500,No
90797798,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Fade Cut Grooming,120000,,,,,,,,,,,,,,,-927,Yes,No,0,Yes,31500,No
154258979,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Noble Grooming,160000,,,,,,,,,,,,,,,-25,Yes,No,0,Yes,37350,No
154258980,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Baron Grooming,180000,,,,,,,,,,,,,,,-276,Yes,No,0,Yes,49350,No
154258981,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Royal Grooming,305000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,86850,No
154258982,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Duke Grooming,270000,,,,,,,,,,,,,,,-10,Yes,No,0,Yes,76350,No
154258983,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Redbox Royal Shaving,120000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,36000,No
154258984,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Premium Head Shave,120000,,,,,,,,,,,,,,,-2,Yes,No,0,Yes,33000,No
